,GRAD DATA: MAJORS 2008-09 thru 2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M1 = First Major   M2 = Second Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAD YEAR = SUMMER-DEC-APRIL/MAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023-2024 GRADUATES,,,,2022-2023 GRADUATES,,,,2021-2022 GRADUATES,,,,2020-2021 GRADUATES,,,,2019-2020 GRADUATES,,,,2018-2019 GRADUATES,,,,2017-2018 GRADUATES,,,,2016-2017 GRADUATES,,,,2015-2016 GRADUATES,,,,2014-2015 GRADUATES,,,,2013-2014 GRADUATES,,,,2012-2013 GRADUATES,,,,2011-2012 GRADUATES,,,,2010-2011 GRADUATES,,,,2009-2010 GRADUATES,,,,2008-09 GRADUATES,,
,MAJOR,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTAL,,M1,M2,TOTALS
,Mathematics - Track I,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,2,,0,1,1,,2,3,5,,3,3,6,,1,0,1,,1,1,2,,0,1,1,,3,0,3
,Mathematics - Track II,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,1,1,,0,0,0,,1,1,2,,1,0,1,,0,0,0,,2,0,2,,1,0,1
,Mathematics: Elementary Educ,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,0,0,0
,Mathematics: Secondary Educ,1,0,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,2,0,2,,3,0,3,,1,0,1,,1,0,1,,1,0,1
,Mathematics Actuarial Emphasis,0,0,0,,1,1,2,,2,0,2,,1,0,1,,2,1,3,,3,0,3,,4,0,4,,1,1,2,,1,0,1,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,
,Music - General,0,1,1,,1,0,1,,1,1,2,,1,2,3,,2,0,2,,2,0,2,,7,0,7,,2,0,2,,2,2,4,,6,1,7,,7,2,9,,6,0,6,,4,1,5,,7,0,7,,2,4,6,,3,0,3
,Music With Performance,2,0,2,,0,0,0,,1,0,1,,0,1,1,,1,0,1,,3,0,3,,0,0,0,,0,1,1,,1,0,1,,1,0,1,,0,2,2,,1,0,1,,2,0,2,,4,1,5,,0,0,0,,2,0,2
,Music: K-12 Education,0,0,0,,4,0,4,,0,0,0,,0,0,0,,3,0,3,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,2,0,2,,0,,0,,1,0,1,,1,0,1,,6,0,6,,5,0,5,,1,0,1
,Philosophy,3,2,5,,1,2,3,,5,0,5,,2,3,5,,1,2,3,,5,4,9,,2,4,6,,4,1,5,,4,4,8,,4,0,4,,6,3,9,,4,3,7,,6,6,12,,5,2,7,,6,3,9,,12,7,19
,Phys Educ - Athletic Training,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,10,0,10,,4,0,4,,8,0,8
,Phys Educ - Exercise Science,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,0,1,,7,0,7,,7,1,8,,9,0,9,,12,1,13
,Physical Education,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,1,0,1,,3,0,3,,3,0,3,,3,1,4
,Physical Education: Elementary,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,,0,0,0,,0,0,0,,1,0,1,,0,0,0
,Physical Education: K-12 Educ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0,2,,7,0,7,,1,0,1,,1,0,1,,1,0,1
