Academic Year,Category,Subcategory,Full Time,Part Time
2002-03,,GRAND TOTALS,1619,39
2024-25,,HEADCOUNT,1308,0
2023-24,,HEADCOUNT,1354,0
2022-23,,HEADCOUNT,1456,0
2021-22,,HEADCOUNT,1523,0
2020-21,,HEADCOUNT,1506,0
2019-20,,HEADCOUNT,1475,0
2018-19,,HEADCOUNT,1533,0
2017-18,,HEADCOUNT,1568,0
2016-17,,HEADCOUNT,1418,0
2015-16,,HEADCOUNT,1376,0
2014-15,,HEADCOUNT,1268,0
2013-14,,HEADCOUNT,1307,0
2012-13,,HEADCOUNT,1382,0
2011-12,,HEADCOUNT,1514,0
2010-11,,HEADCOUNT,1602,0
2009-10,,HEADCOUNT,1738,0
2008-09,,HEADCOUNT,1860,0
2007-08,,HEADCOUNT,1938,0
2006-07,,HEADCOUNT,1941,0
2005-06,,HEADCOUNT,1979,0
2004-05,,HEADCOUNT,1867,0
2003-04,,HEADCOUNT,1732,0
2002-03,,HEADCOUNT,1658,0
